"package","version"
"R","3.5.1"
"grDevices","3.5.1"
"graphics","3.5.1"
"utils","3.5.1"
"stats","3.5.1"
"methods","3.5.1"
"tools","3.5.1"
"assertthat","0.2.0"
"crayon","1.3.4"
"grid","3.5.1"
"bit","1.1-14"
"cli","1.0.1"
"colorspace","1.3-2"
"fansi","0.4.0"
"glue","1.3.0"
"lattice","0.20-35"
"magrittr","1.5"
"Rcpp","1.0.0"
"rlang","0.3.0.1"
"stringi","1.2.4"
"utf8","1.1.4"
"fastmatch","1.1-0"
"ff","2.2-14"
"labeling","0.3"
"Matrix","1.2-14"
"munsell","0.5.0"
"nlme","3.1-137"
"pillar","1.3.1"
"plyr","1.8.4"
"R6","2.3.0"
"RColorBrewer","1.1-2"
"rJava","0.9-10"
"stringr","1.3.1"
"triebeard","0.3.0"
"viridisLite","0.3.0"
"DatabaseConnectorJars","1.0.0"
"DBI","1.0.0"
"digest","0.6.18"
"ffbase","0.12.7"
"gtable","0.2.0"
"lazyeval","0.2.1"
"MASS","7.3-50"
"mgcv","1.8-24"
"reshape2","1.4.3"
"scales","1.0.0"
"splines","3.5.1"
"SqlRender","1.5.2"
"tibble","1.4.2"
"urltools","1.7.1"
"withr","2.1.2"
"base64enc","0.1-3"
"curl","3.2"
"DatabaseConnector","2.2.0"
"ggplot2","3.1.0"
"jsonlite","1.6"
"mime","0.6"
"openssl","1.1"
"snow","0.4-3"
"survival","2.42-3"
"XML","3.98-1.16"
"aws.signature","0.4.4"
"Cyclops","2.0.1"
"FeatureExtraction","2.1.5"
"gridExtra","2.3"
"httr","1.4.0"
"ParallelLogger","1.0.1"
"pROC","1.13.0"
"uuid","0.1-2"
"xml2","1.2.0"
"CohortMethod","3.0.2"
"EmpiricalCalibration","1.3.6"
"MethodEvaluation","0.3.1"
"OhdsiSharing","0.1.3"
"TicagrelorVsClopidogrel","0.0.1"
